"twitter account","LABEL","Valid","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"barenakedislam","propaganda","Yes","It isn't Islamophobia when they really ARE trying to kill you",22485,21153,2,398,"http://t.co/antuyqgbiG","barenakedislam","2008-12-14T16:35:47Z","FALSE","FALSE","barenakedislam",,"en",18118505,345,"FALSE","http://pbs.twimg.com/profile_images/1027102844/4bc1a413f455279fb410e8089048c4e2_normal.jpeg"
"beforeitsnews","propaganda","Yes","We specialize in publishing the news that the mainstream media ignores.",330243,64099,1,9773,"http://beforeitsnews.com","Before It's News","2009-09-12T04:45:44Z","FALSE","FALSE","beforeitsnews",,"en",73572581,1747,"FALSE","http://pbs.twimg.com/profile_images/556349385856933889/yIpMaACM_normal.jpeg"
"bigpzone","clickbait","Yes","Host of The Rundown Live, @RundownLive, @InfoWarPage, Always question everything!",18136,856,237,1374,"http://t.co/d02kzcZf76","mike paczesny","2009-08-29T07:22:50Z","FALSE","FALSE","bigpzone","milwaukee","en",69815638,26,"FALSE","http://pbs.twimg.com/profile_images/3344927584/139e4c8dbfee0caea251b37587b135da_normal.jpeg"
"bipartisanism","clickbait","Yes","We bring the news. News@BipartisanReport.com https://t.co/mULJvsi4wD",32103,410754,56131,47046,"https://t.co/SOiKIzZMUE","Bipartisan Report","2012-02-09T14:55:09Z","FALSE","TRUE","Bipartisanism","Seattle, USA","en",487600344,1712,"FALSE","http://pbs.twimg.com/profile_images/762863803138662408/N3c5gIyD_normal.jpg"
"bizpacreview","propaganda","Yes","Conservative News Today. BizPac Review, news for conservatives. https://t.co/AZ6HS9Gf07",116247,43053,134,13323,"http://t.co/UboN9Ajx8H","Conservative News","2011-01-13T21:44:50Z","FALSE","FALSE","BIZPACReview","West Palm Beach, Florida","en",237888723,536,"FALSE","http://pbs.twimg.com/profile_images/847920865819938818/z1S06GWa_normal.jpg"
"blacklistednews","clickbait","Yes","Official tweets from http://t.co/s2Kmj45qKm and Sr. Editor Doug Owen, host of the Blacklisted Radio Podcast @BLNRadio",56155,56640,1003,804,"http://t.co/PfLNJCUHZA","Blacklisted News","2009-03-24T03:02:16Z","FALSE","FALSE","BlacklistedNews",,"en",26163517,1653,"FALSE","http://pbs.twimg.com/profile_images/378800000603127667/29da5301385f066d2ecee4d88d85f460_normal.png"
"blastingnews","satire","Yes","Blasting News is a #news #magazine based on the principle of #social #journalism & powered by the voices of thousands of people. Join the revolution!",16769,3075,414,622,"https://t.co/lEejO4AUQc","BlastingNews","2015-05-22T13:33:55Z","FALSE","FALSE","BlastingNews","United States","en",3294022511,142,"FALSE","http://pbs.twimg.com/profile_images/601744108051374080/raBROkMc_normal.png"
"blkagendareport","propaganda","Yes","News, analysis and commentary from the Black Left.",2368,12899,3,164,"http://t.co/FLbEsb6WIa","Black Agenda Report","2009-08-15T02:25:56Z","FALSE","FALSE","blkagendareport","the real world","en",65801609,447,"FALSE","http://pbs.twimg.com/profile_images/2882911453/60938b867aff83c5257a2104624308a2_normal.jpeg"
"bluenationrev","clickbait","Yes",,0,80,0,0,"NA","BNR","2016-09-22T15:47:52Z","FALSE","FALSE","BlueNationRev",,"en",7.78984164540445E+017,1,"FALSE","http://pbs.twimg.com/profile_images/778991444191248384/in3lI6J7_normal.jpg"
"borowitzreport","satire","Yes","There is a fine line between social networking and wasting your fucking life.",118,610503,0,33,"http://t.co/YsiFIqg85C","Andy Borowitz","2008-11-10T20:17:15Z","FALSE","TRUE","BorowitzReport","New York","en",17293897,10914,"FALSE","http://pbs.twimg.com/profile_images/3375501340/398c06d3a2faac49c08375e19d101c30_normal.jpeg"
"breitbartnews","clickbait","Yes","News, commentary, and destruction of the political/media establishment.",75604,690460,759,248,"http://t.co/2sVbt3n6lO","Breitbart News","2012-01-08T01:50:52Z","FALSE","TRUE","BreitbartNews",,"en",457984599,7002,"FALSE","http://pbs.twimg.com/profile_images/649329146221297665/5UgMNCwA_normal.jpg"
"clickhole","satire","Yes","Because all content deserves to go viral.",24891,298049,2687,22,"http://t.co/o9QKdXXcxf","ClickHole","2014-03-07T23:51:23Z","FALSE","TRUE","ClickHole",,"en",2377815434,1847,"FALSE","http://pbs.twimg.com/profile_images/835165929696804864/2jB_cUF-_normal.jpg"
"coasttocoastam","clickbait","Yes","Coast to Coast AM airs on more than 560 stations.",8450,123240,0,0,"http://t.co/Wn55XzYvpo","Coast to Coast AM","2009-05-21T17:46:47Z","FALSE","TRUE","coasttocoastam","Somewhere Out There...","en",41635723,2343,"FALSE","http://pbs.twimg.com/profile_images/587896291658633216/qFEEgO5Y_normal.jpg"
"collectiveevol","clickbait","Yes","Alternative Media Website. Festival Winning Documentary Production Company. Newsroom. Web Series. A Group Of Young People That Want To Help Change The World.",18281,64063,7754,601,"http://t.co/tNfLTPZkfR","Collective Evolution","2009-07-16T04:21:33Z","FALSE","FALSE","CollectiveEvol","Toronto, Canada","en",57241134,987,"FALSE","http://pbs.twimg.com/profile_images/710134432246542340/qQgrGvTE_normal.jpg"
"conscious_news","clickbait","Yes","News, articles and information for conscious living on Planet Earth.",20726,1928,15,304,"http://t.co/XgL6kLX242","Conscious Life News","2010-09-26T22:59:20Z","FALSE","FALSE","conscious_news","Los Angeles","en",195524777,72,"FALSE","http://pbs.twimg.com/profile_images/378800000248634934/8ee6ae7bab984928b2c09cabb3297883_normal.png"
"consortiumnews","propaganda","Yes","Independent Investigative Journalism Since 1995",5518,8572,0,412,"http://t.co/bLU2R5Rv6P","Robert Parry","2009-07-27T20:20:03Z","FALSE","FALSE","Consortiumnews","Arlington, Virginia","en",60698597,530,"FALSE","http://pbs.twimg.com/profile_images/1136785922/facebook_icon_normal.jpg"
"consrvoutfitter","clickbait","Yes","Welcome to the Official Twitter of Conservative Outfitters.",2226,3038,12929,511,"http://t.co/UAtUyANP5Y","Conserv. Outfitters","2013-08-04T02:16:32Z","FALSE","FALSE","ConsrvOutfitter","America","en",1644152239,88,"FALSE","http://pbs.twimg.com/profile_images/486200019025133569/mkbgMP_q_normal.jpeg"
"corbettreport","propaganda","Yes","James is the Editor of The Corbett Report, an independent news and information resource based in Japan.",9016,31013,906,259,"http://t.co/O9CyWs9hjW","James Corbett","2011-11-08T07:59:09Z","FALSE","FALSE","corbettreport","Japan","en",407579699,762,"FALSE","http://pbs.twimg.com/profile_images/748068797689430016/dNUVB3rY_normal.jpg"
"countercurrents","propaganda","Yes","Educate! Organize! Agitate",19128,6395,150,44,"http://t.co/CDCMixVS9e","Countercurrents.org","2009-03-14T07:14:24Z","FALSE","FALSE","Countercurrents",,"en",24343809,351,"FALSE","http://pbs.twimg.com/profile_images/1814735231/twitternew_normal.jpg"
"counter_info","propaganda","Yes",,33000,233,1,260,"http://t.co/zXTqIryGHD","Jaime Castro","2011-04-10T04:10:41Z","FALSE","FALSE","Counter_info","Canada","en",279848159,18,"FALSE","http://pbs.twimg.com/profile_images/776086710774034432/yW0WZeDR_normal.jpg"
"counterpsyops","clickbait","Yes","A new hole in the propaganda matrix",4273,1553,0,1,"http://t.co/a3nXsz61C5","CounterPsyOps","2011-08-03T12:30:02Z","FALSE","FALSE","CounterPsyOps","On truth's side","en",347824515,101,"FALSE","http://pbs.twimg.com/profile_images/1521780935/new-2_normal.png"
"crg_crm","clickbait","Yes","The Centre for Research on Globalization (CRG) is an independent research and media group of writers, scholars, journalists and activists.",8383,25568,6,65,"http://t.co/Cpm7WWX7Kj","Global Research","2013-07-30T17:42:52Z","FALSE","FALSE","CRG_CRM","Montreal, Canada","en",1633453286,921,"FALSE","http://pbs.twimg.com/profile_images/378800000215689056/240ee570fb33bec15bad367640e67f73_normal.png"
"dailybuzzlive","propaganda","Yes",,5631,107795,71,1855,"http://t.co/VG5LDWQ0bn","Daily Buzz Live","2013-09-21T02:02:32Z","FALSE","FALSE","DailyBuzzLive","GET  BUZZED! ","en",1888496474,25,"FALSE","http://pbs.twimg.com/profile_images/600076254344130561/FwYvTgIV_normal.png"
"darkpolitricks","propaganda","Yes","Political Junky running the #altnews https://t.co/b0903NowMa site dedicated to free speech, the war on terror and covering under-reported news from all sides.",94351,3857,287,2782,"http://t.co/4IGfmM964A","DarkPolitricks","2008-07-15T10:53:24Z","FALSE","FALSE","darkpolitricks","London","en",15439100,541,"FALSE","http://pbs.twimg.com/profile_images/1627258599/darkpolitricks-100x100_normal.png"
"da_stockman","propaganda","Yes","Author, #Trumped! https://t.co/cQoEX3uQ4g Fmr. Congressman, Reagan's OMB Director, Founder: #ContraCorner, author of #TheGreatDeformation & #TriumphofPolitics",17050,21183,35,355,"http://t.co/CZxq3XIbUL","David Stockman","2014-02-14T20:13:10Z","FALSE","FALSE","DA_Stockman","NYC | Aspen","en",2344061090,541,"FALSE","http://pbs.twimg.com/profile_images/775075800454430720/ZSLHL50D_normal.jpg"
"dcclothesline","hoax","Yes","Airing Out America's Dirty Laundry. #tcot",87959,14766,32,1951,"http://t.co/MI09Qxq8QW","The D.C. Clothesline","2009-09-22T02:34:29Z","FALSE","FALSE","DCClothesline","Everywhere","en",76227785,309,"FALSE","http://pbs.twimg.com/profile_images/493165757488828416/FqJK4NwY_normal.jpeg"
"delphi2015","propaganda","Yes","Delphi Forum 20 -21 June 2015",1800,196,0,0,"NA","Delphi Initiative","2015-06-27T08:10:12Z","FALSE","FALSE","Delphi2015","Greece","en-gb",3347340383,7,"FALSE","http://pbs.twimg.com/profile_images/614712188901593088/-DWxIA0n_normal.jpg"
"disclosetv","propaganda","Yes","Facebook: https://t.co/fxArjRwU5p 
YouTube:
https://t.co/VJndPyVPl9",175575,38210,134,504,"http://t.co/DgQTjAt4","Disclose.tv","2008-07-11T15:25:39Z","FALSE","FALSE","DiscloseTV","Outer Space","en",15392486,572,"FALSE","http://pbs.twimg.com/profile_images/653520690952445952/Mxdt-4HF_normal.jpg"
"drudge_report","hoax","Yes","The DRUDGE REPORT is a U.S. based news aggregation website run by Matt Drudge(@DRUDGE).",190989,1190273,0,2,"http://t.co/dsLXEBfDsQ","DRUDGE REPORT","2008-05-06T05:34:47Z","FALSE","FALSE","DRUDGE_REPORT","US","en",14669951,20907,"FALSE","http://pbs.twimg.com/profile_images/53808884/images_normal.jpeg"
"duffelblog","satire","Yes","The American military's most-trusted news source. https://t.co/GTDf725qEI",14459,23740,1028,1,"https://t.co/KEU5UaFA7S","Duffel Blog","2012-03-29T10:56:32Z","FALSE","TRUE","DuffelBlog","Deployed Worldwide","en",539965863,495,"FALSE","http://pbs.twimg.com/profile_images/821155832960286720/qc69kgLM_normal.jpg"
"empireherald","satire","Yes","Follow for breaking news & special reports. Like us on Facebook: https://t.co/7fqp0iGGwI",19906,163449,54,111,"https://t.co/5w6XLi0jdG","The Empire Herald","2009-05-31T19:08:42Z","FALSE","FALSE","EmpireHerald","New York, USA","en",43736365,835,"FALSE","http://pbs.twimg.com/profile_images/691408672937738241/h7Hv2qi7_normal.jpg"
"engpravda","propaganda","Yes",,25021,21716,1,4,"https://t.co/gsPW1TBFuF","Pravda Report","2009-05-06T11:03:59Z","FALSE","FALSE","engpravda",,"en",38155971,916,"FALSE","http://pbs.twimg.com/profile_images/1452928200/ie-logo_normal.gif"
"etministries","propaganda","Yes","End of the Age TV & Radio Broadcast, ENDTIME Magazine, @irvinbaxter, Managed by the Endtime Team",11671,10480,50,45,"https://t.co/FNRBzXVLxR","Endtime Ministries","2009-05-21T14:42:37Z","FALSE","FALSE","ETMinistries","Plano, TX","en",41598656,154,"FALSE","http://pbs.twimg.com/profile_images/489869109710946304/nF2YtMzU_normal.jpeg"
"eutimesnet","propaganda","Yes","EU Times delivers world breaking news and information on the latest top stories, economy, entertainment, politics, and more.",3728,1050,0,0,"http://t.co/Yuxu6HAF0C","European Union Times","2015-03-27T15:51:19Z","FALSE","FALSE","EUTimesNET","European Union, Amsterdam","en",3121593653,37,"FALSE","http://pbs.twimg.com/profile_images/783405726479810565/DQ8MyWj3_normal.jpg"
"eutopia_buzz","propaganda","Yes","UFO sightings, extraterrestrial intelligence, Area 51, ancient civilizations, NASA and the supernatural.",1640,768,3485,50,"NA","Eutopia","2016-05-09T17:11:58Z","FALSE","FALSE","eutopia_buzz",,"en",7.29720580279173E+017,10,"FALSE","http://pbs.twimg.com/profile_images/729721140067770368/1PgtfhyV_normal.jpg"
"eyeopeninginfo","propaganda","Yes","Our aim is to give you access to eye-opening, hand-picked back-dated and most up-to-date eye-opening stories and information from thousands of publications.",10747,181,1,22,"http://t.co/0Oo2Eiepvy","EyeOpening.Info","2014-01-13T03:25:25Z","FALSE","FALSE","EyeOpeningInfo",,"en",2289031152,6,"FALSE","http://pbs.twimg.com/profile_images/422594286283026432/m3r63LNd_normal.png"
"filmsforaction","propaganda","Yes","A community-powered news & learning library for people who want to change the world. Watch over 1500 films. Add & rate content. Start a local chapter. Join us!",5957,14707,46,313,"http://t.co/12jlYbtfuB","Films For Action","2009-07-01T22:14:51Z","FALSE","FALSE","FilmsForAction",,"en",52869924,525,"FALSE","http://pbs.twimg.com/profile_images/464217957036339200/vd9ezH4r_normal.jpeg"
"forpoljournal","propaganda","Yes","Critical analysis, world news, and opinion commentary on international affairs",6029,3398,22,469,"http://t.co/OUxXz1rNyV","ForeignPolicyJournal","2009-05-15T08:07:21Z","FALSE","FALSE","ForPolJournal","USA","en",40200634,185,"FALSE","http://pbs.twimg.com/profile_images/523468740877225984/j6V4adj1_normal.png"
"fort_russ_news","propaganda","Yes","Russia War News & More - Read what Russia Reads!",6340,2453,146,649,"http://t.co/LSPtvwhLyA","Fort Russ News","2012-10-04T13:53:31Z","FALSE","FALSE","Fort_Russ_News","Boston, Riga","en",861434924,145,"FALSE","http://pbs.twimg.com/profile_images/637734713176780801/iIMY89WX_normal.jpg"
"fprnradio","clickbait","Yes",,15891,323,0,72,"http://t.co/J1q2Je4CBq","FPRN Radio Network","2013-02-20T20:36:33Z","FALSE","FALSE","FPRNRadio",,"en",1202084460,26,"FALSE","http://pbs.twimg.com/profile_images/808529183450296325/T23R5acs_normal.jpg"
"freedomoutpost","propaganda","Yes","Don't tread on us.",0,2391,0,0,"http://t.co/74K2f8ZPYU","Freedom Outpost","2012-07-06T12:42:43Z","FALSE","FALSE","FreedomOutpost",,"en",628345598,20,"FALSE","http://pbs.twimg.com/profile_images/2372822451/FB_Profile2_normal.jpg"
"galacticconnect","propaganda","Yes","The Latest In Planetary News and Updates",16238,2201,1,43,"http://t.co/NbAeOBkp1y","GalacticConnection","2012-08-07T17:45:00Z","FALSE","FALSE","GalacticConnect","San Diego, California","en",743380057,47,"FALSE","http://pbs.twimg.com/profile_images/576877982469337089/e5tYYYLK_normal.png"
"gangstergovt","propaganda","Yes",,436,34,395,57,"http://t.co/Kqaav4Jp7v","Gangster Government","2010-05-26T12:13:29Z","FALSE","FALSE","GangsterGovt",,"en",148324279,10,"FALSE","http://pbs.twimg.com/profile_images/513777227775741952/oHfFOWCO_normal.jpeg"
"gatesofvienna","propaganda","Yes","Blogger booted us out. Now back up & STILL striving 4 Western values:primacy of the person, free speech; rule of law, and property rights. Gratitude wins. #TGDN",17068,7872,183,3083,"http://t.co/TQuxHAlViw","Gates of Vienna","2009-10-22T13:30:05Z","FALSE","FALSE","GatesofVienna","Foothills of Blue RIdge Mtns","en",84324670,194,"FALSE","http://pbs.twimg.com/profile_images/1243719010/govtwitter_normal.jpg"
"geoengwatch","propaganda","Yes",,1820,2867,0,0,"http://t.co/fS4KifAjz3","Geoengineering Watch","2012-09-27T19:02:49Z","FALSE","FALSE","GeoengWatch",,"en",849785408,101,"FALSE","http://pbs.twimg.com/profile_images/2656035961/6b25c9676d8ac63f1ece41b81f68fa1f_normal.jpeg"
"geopolmonitor","propaganda","Yes","GEOPOLMonitor is an independent platform featuring geopolitical news, analysis and reports.",198,336,37,371,"https://t.co/glBXIfCzKv","GEOPOLMonitor","2016-07-23T19:23:18Z","FALSE","FALSE","geopolmonitor",,"en",7.56932720094245E+017,12,"FALSE","http://pbs.twimg.com/profile_images/756933418261344256/HuiRKRON_normal.jpg"
"gomerblog","satire","Yes","Earth's greatest medical news source for physicians, nurses, other healthcare professionals, and students.",12633,15434,3208,469,"https://t.co/Enk2wCfMNX","GomerBlog","2013-06-18T01:58:58Z","FALSE","FALSE","GomerBlog","Administration Offices","en",1526458003,263,"FALSE","http://pbs.twimg.com/profile_images/658790087002468352/5TLViFe8_normal.png"
"govtslaves","clickbait","Yes","Send news tips to contact@govtslaves.info",20729,2071,1449,2124,"https://t.co/CyCc13PBMn","GOVERNMENT SLAVES","2011-05-03T22:07:31Z","FALSE","FALSE","govtslaves","The First State","en",292586544,45,"FALSE","http://pbs.twimg.com/profile_images/762509042270867456/YMTaSMPe_normal.jpg"
"guccifer_2","propaganda","Yes",,74,46838,37,110,"https://t.co/xE1Bjb99BB","GUCCIFER 2.0","2016-06-20T15:20:51Z","FALSE","FALSE","GUCCIFER_2",,"en",7.44912907515855E+017,402,"FALSE","http://pbs.twimg.com/profile_images/744917227174952960/c2y5fphn_normal.jpg"
"gulagbound","clickbait","Yes","https://t.co/hliqMUrsj4 exposes threats to our sovereign freedom, even when the truth is painful. Also see The Globe & Malevolence (#G8M, link below):",14892,20411,91,17754,"https://t.co/ajVlEaQ2sn","Gulag Bound","2010-06-28T16:17:24Z","FALSE","FALSE","GulagBound","1st Amendment at Serfdom Rd.","en",160591174,363,"FALSE","http://pbs.twimg.com/profile_images/3470009621/cba1c70c472e9a28e198ad1746402226_normal.jpeg"
"hangthebankers","clickbait","Yes","https://t.co/jbVzCbSEaG is your #1 source of the news that matters.",9250,10339,0,249,"http://t.co/0KB7MyrhC4","HangTheBankers.com","2012-04-11T03:48:12Z","FALSE","FALSE","hangthebankers","Worldwide","en",550756440,170,"FALSE","http://pbs.twimg.com/profile_images/843703431126630400/yorRwrl4_normal.jpg"
"healthranger","propaganda","Yes","Consumer health advocate and editor of https://t.co/Esaj5fU58j. Get a free eBook (25 Facts About Food) at https://t.co/IkZzndSaNt",34963,113545,9,45,"http://t.co/Esaj5gcemr","HealthRanger","2008-08-13T22:02:23Z","FALSE","FALSE","HealthRanger","Tucson, AZ","en",15843059,3576,"FALSE","http://pbs.twimg.com/profile_images/466669627947237377/qu4FUDr6_normal.jpeg"
"henrymakow","propaganda","Yes","Exposing Feminism and The New World Order.",33696,10999,5,310,"http://t.co/Fh0bOqvxbe","Henry Makow","2012-01-29T17:06:48Z","FALSE","FALSE","HenryMakow",,"en",477864155,257,"FALSE","http://pbs.twimg.com/profile_images/1790281240/henry-makow_normal.jpg"
"ifyou0nlynews","satire","Yes",,6047,1174,597,45,"http://t.co/lKLa16BJGi","If You Only News","2014-10-29T17:37:17Z","FALSE","FALSE","IfYou0nlyNews",,"en",2882369826,14,"FALSE","http://pbs.twimg.com/profile_images/578677765521547264/lc6ARQOd_normal.jpeg"
"infowars","propaganda","Yes","You have found the tip of the spear in alternative media - Circumventing the dying dinosaur media systems of information suppression",38024,278836,1121,546,"http://t.co/KuO73sErVG","infowars","2008-04-24T02:26:22Z","FALSE","FALSE","infowars","Austin, Texas","en",14505245,2362,"FALSE","http://pbs.twimg.com/profile_images/771129571143917568/ALsCCg-v_normal.jpg"
"intellihubnews","clickbait","Yes","Official Twitter of Intellihub News & Politics, a leading independent news agency in the upper 1% traffic tier on the World Wide Web.",24672,22898,1582,267,"http://t.co/h70Btx877g","Intellihub","2010-07-17T08:56:31Z","FALSE","FALSE","intellihubnews",,"en",167716675,666,"FALSE","http://pbs.twimg.com/profile_images/477188390018768896/KqoXVCJF_normal.png"
"intersectionen","propaganda","Yes","Russia/Europe/World. An online journal providing analysis of political, economic&social developments in Russia and beyond. На русском - @Intersection_RU",3993,2263,171,652,"http://t.co/t0FeV67ANf","Intersection","2015-05-20T06:18:27Z","FALSE","TRUE","IntersectionEN",,"en",3290907035,138,"FALSE","http://pbs.twimg.com/profile_images/600909003070124032/syB7Gb4e_normal.jpg"
"intrepid_report","propaganda","Yes","Fearless, feisty and independent news, commentary and analysis",9434,889,165,786,"http://t.co/Z0q9jFdbtl","Intrepid Report","2009-03-22T04:07:22Z","FALSE","FALSE","Intrepid_Report","Global","en",25778467,67,"FALSE","http://pbs.twimg.com/profile_images/1571126230/IR_100x100_normal.jpg"
"investwatchblog","propaganda","Yes","Spreading the truth. Empowering the people. 
Facebook Page: https://t.co/h6aQUOPMM7",246911,4233,637,519,"http://t.co/ifVqaDurrD","InvestmentWatch","2010-02-10T02:24:58Z","FALSE","FALSE","InvestWatchBlog","USA","en",112902058,223,"FALSE","http://pbs.twimg.com/profile_images/603357884009680896/VguTpI5V_normal.png"
"invresdynamics","propaganda","Yes",,8579,2431,54,521,"http://t.co/ksEUfdoGRX","David Kranzler","2009-08-18T10:35:47Z","FALSE","FALSE","InvResDynamics","Denver","en",66649220,60,"FALSE","http://pbs.twimg.com/profile_images/565554995966119936/BzcXGmsU_normal.jpeg"
"joingaia","propaganda","Yes","We answer Gaia support questions 5 days a week + guidance for your transformational journey.",10359,22759,2202,5853,"https://t.co/5qgHFSKxYN","Gaia","2011-09-15T16:28:36Z","FALSE","TRUE","JoinGaia","Boulder, Colorado","en",374048289,524,"FALSE","http://pbs.twimg.com/profile_images/860241570531991552/TiODSjfL_normal.jpg"
"journalneo","propaganda","Yes","New Eastern Outlook provides a daily analysis on the world affairs and events with focus on MENA and Asian countries. https://t.co/EjJELzCgqy",33222,17156,1005,3563,"http://t.co/JwlNUcAmLC","New Eastern Outlook","2010-07-13T19:48:36Z","FALSE","FALSE","JournalNEO",,"en",166284293,713,"FALSE","http://pbs.twimg.com/profile_images/458882593027411968/b3D-C-dr_normal.png"
"katehonnews","propaganda","Forbidden (HTTP 403)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"kingworldnews","propaganda","Yes",,4326,14440,0,7,"NA","King World News","2010-08-21T13:36:15Z","FALSE","FALSE","KingWorldNews",,"en",181168139,384,"FALSE","http://pbs.twimg.com/profile_images/1110284548/kingworldnews_normal.png"
"laurahuntercdr","propaganda","Not Found (HTTP 404)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"lewrockwell","clickbait","Yes","Founder and chairman of the Ludwig von Mises Institute, editor of http://t.co/20deIXtiUM.",43336,51789,3,46,"http://t.co/9AajC81xee","Lew Rockwell","2009-02-14T08:26:59Z","FALSE","FALSE","lewrockwell","Auburn, Alabama","en",20837035,1564,"FALSE","http://pbs.twimg.com/profile_images/634770570412822528/DSUiZT-E_normal.png"
"libamericaorg","clickbait","Yes","Liberal America Media LLC: Saving America Since 1776.  Find us on Facebook at https://t.co/ZSEWrVAL5w",23507,8964,1248,618,"http://t.co/Dmkkm6HjmG","Liberal America","2013-03-28T21:23:12Z","FALSE","FALSE","LibAmericaOrg","Liberal America","en",1311764197,102,"FALSE","http://pbs.twimg.com/profile_images/430128280146935808/qsEGZIhm_normal.png"
"libertyblitz","propaganda","Yes","""It is better to go skiing and think of God, than go to church and think of sport."" - Fridtjof Nansen",41541,12044,1,274,"https://t.co/Ono7qIButo","Michael Krieger","2012-04-21T19:06:49Z","FALSE","FALSE","LibertyBlitz","Colorado","en",559802746,437,"FALSE","http://pbs.twimg.com/profile_images/857315597952135174/m63-zwNv_normal.jpg"
"lightalexander","clickbait","Yes","I am a free human being. In this life I am a man, and I received the name Alexander.
~ I am another you ~",12155,2112,0,1664,"http://t.co/wnG5O5JA9X","Alexander Light","2010-12-10T11:20:47Z","FALSE","FALSE","LightAlexander","Planet Earth","en",224992161,72,"FALSE","http://pbs.twimg.com/profile_images/521355696504197120/qrmSaSLf_normal.jpeg"
"lukewearechange","propaganda","Yes","“Mr. Rudkowski is no shrinking violet. Armed with a video camera and a YouTube account- NYTIMES
http://t.co/jDIq2Ck0id
BTC 17zfAyA1kxieD7QzjRUDLrRPRxxfPDZxtD",20765,64774,811,2192,"http://t.co/7rbyZKKhRi","Luke Rudkowski","2009-12-10T22:04:56Z","FALSE","TRUE","Lukewearechange","Brooklyn NY","en",95994080,1385,"FALSE","http://pbs.twimg.com/profile_images/848306522517979136/HaZ1ocCC_normal.jpg"
"megynkelly","propaganda","Yes","Happily married to Doug, crazy in love with my children Yates, Yardley, and Thatcher, and anchor at NBC News.",12867,2266482,13,1446,"NA","Megyn Kelly","2010-02-01T15:36:12Z","FALSE","TRUE","megynkelly",,"en",110445334,12307,"FALSE","http://pbs.twimg.com/profile_images/477207730139049984/lUVfaw34_normal.jpeg"
"mintpressnews","propaganda","Yes","Independent watchdog journalism covering imperialism, corporatocracy & civil liberties. Subscribe to #BehindTheHeadline w/ @MnarMuh http://t.co/f9sfRYsclp",71507,32501,4051,2192,"http://t.co/uIQALyD5ZS","MintPress News","2011-11-17T18:30:01Z","FALSE","FALSE","MintPressNews","Correspondents everywhere","en",414962189,1270,"FALSE","http://pbs.twimg.com/profile_images/618497684752592896/vsS1ZlNE_normal.png"
"moonofa","propaganda","Yes",,12312,4685,2144,545,"http://t.co/KXTzKkI4ky","Moon of Alabama","2009-03-06T09:23:22Z","FALSE","FALSE","MoonofA",,"en",23047519,174,"FALSE","http://pbs.twimg.com/profile_images/1632088489/moalogo_normal.jpg"
"natcounterpunch","propaganda","Yes","We run the stories the corporate press never print.",9937,49875,20665,8318,"http://t.co/OwYhrWRUVl","CounterPunch","2011-05-12T23:04:47Z","FALSE","TRUE","NatCounterPunch","PDX","en",297688038,1673,"FALSE","http://pbs.twimg.com/profile_images/747103658572058625/coqmtme__normal.jpg"
"ncscooper","satire","Yes","Randall Fink Finkelstein is the managing editor of the Nevada County Scooper and the recipient of many awards. He occasionally thinks about Sierra County.",7574,3381,110,66,"http://t.co/CVTiG98uut","Randall Finkelstein","2014-06-10T21:30:40Z","FALSE","FALSE","ncscooper","Penn Valley, CA USA","en",2559938790,24,"FALSE","http://pbs.twimg.com/profile_images/665030092230291457/flsoriJf_normal.png"
"newsbiscuit","hoax","Yes","The UK's original daily news satire site",10962,13017,1083,4400,"http://t.co/SSCAdvBRpa","NewsBiscuit","2009-01-30T16:27:52Z","FALSE","FALSE","NewsBiscuit","Not the Isle of Wight","en",19774586,420,"FALSE","http://pbs.twimg.com/profile_images/413235920507109377/P3_4CxGy_normal.jpeg"
"newswndr","satire","Yes","World News Daily Report: News you can trust!",722,92,1,4,"http://t.co/xQruNPpxW4","WorldNewsDailyReport","2014-01-11T23:47:40Z","FALSE","FALSE","NewsWndr",,"fr",2275780065,7,"FALSE","http://pbs.twimg.com/profile_images/422157399135232000/-U0a-PFR_normal.png"
"nowtheendbegins","clickbait","Yes","NTEB is an end times witness for Jesus Christ to a lost and dying world in the last days before the Rapture. #bibleprophecy #endtimes #nowtheendbegins #NTEB",8607,12918,3140,9923,"https://t.co/33FX7VUAhc","Now The End Begins","2010-05-16T03:07:43Z","FALSE","FALSE","NowTheEndBegins","Florida","en",144367359,256,"FALSE","http://pbs.twimg.com/profile_images/805434504953401344/44OmgM4l_normal.jpg"
"nsnbc","propaganda","Yes","Daily, independent, international news, opinion and analysis at http://t.co/mdktSxFwT0",20846,953,1305,0,"http://t.co/mdktSxFwT0","nsnbc international","2010-06-02T18:59:07Z","FALSE","FALSE","nsnbc","International","en",151155898,63,"FALSE","http://pbs.twimg.com/profile_images/3354871974/4acc3815dd91bde0763f0f84eb962e27_normal.jpeg"
