id,Valid,LABEL
141422795,Yes,clickbait
27598017,Yes,propaganda
16936686,Yes,clickbait
14210021,Yes,propaganda
154532994,Yes,clickbait
188014427,Yes,clickbait
2454479347,Yes,clickbait
3956151875,Yes,propaganda
748556263055835008,Yes,clickbait
322027737,Yes,propaganda
183036873,Yes,propaganda
4779120929,Yes,clickbait
2848616367,Yes,propaganda
633485518,Yes,propaganda
15503210,Yes,propaganda
18118505,Yes,propaganda
73572581,Yes,propaganda
69815638,Yes,clickbait
487600344,Yes,clickbait
237888723,Yes,propaganda
26163517,Yes,clickbait
3294022511,Yes,satire
65801609,Yes,propaganda
778984164540445056,Yes,clickbait
17293897,Yes,satire
457984599,Yes,clickbait
2377815434,Yes,satire
41635723,Yes,clickbait
57241134,Yes,clickbait
195524777,Yes,clickbait
60698597,Yes,propaganda
1644152239,Yes,clickbait
407579699,Yes,propaganda
24343809,Yes,propaganda
279848159,Yes,propaganda
347824515,Yes,clickbait
1633453286,Yes,clickbait
1888496474,Yes,propaganda
15439100,Yes,propaganda
2344061090,Yes,propaganda
76227785,Yes,hoax
3347340383,Yes,propaganda
15392486,Yes,propaganda
14669951,Yes,hoax
539965863,Yes,satire
43736365,Yes,satire
38155971,Yes,propaganda
41598656,Yes,propaganda
3121593653,Yes,propaganda
729720580279172992,Yes,propaganda
2289031152,Yes,propaganda
52869924,Yes,propaganda
40200634,Yes,propaganda
861434924,Yes,propaganda
1202084460,Yes,clickbait
628345598,Yes,propaganda
743380057,Yes,propaganda
148324279,Yes,propaganda
84324670,Yes,propaganda
849785408,Yes,propaganda
756932720094244992,Yes,propaganda
1526458003,Yes,satire
292586544,Yes,clickbait
744912907515854976,Yes,propaganda
160591174,Yes,clickbait
550756440,Yes,clickbait
15843059,Yes,propaganda
477864155,Yes,propaganda
2882369826,Yes,satire
14505245,Yes,propaganda
167716675,Yes,clickbait
3290907035,Yes,propaganda
25778467,Yes,propaganda
112902058,Yes,propaganda
66649220,Yes,propaganda
374048289,Yes,propaganda
166284293,Yes,propaganda
181168139,Yes,propaganda
20837035,Yes,clickbait
1311764197,Yes,clickbait
559802746,Yes,propaganda
224992161,Yes,clickbait
95994080,Yes,propaganda
110445334,Yes,propaganda
414962189,Yes,propaganda
23047519,Yes,propaganda
297688038,Yes,propaganda
2559938790,Yes,satire
19774586,Yes,hoax
2275780065,Yes,satire
144367359,Yes,clickbait
151155898,Yes,propaganda
878284831,Yes,clickbait
3171668783,Yes,propaganda
16522257,Yes,propaganda
120569169,Yes,propaganda
124234862,Yes,clickbait
17126662,Yes,clickbait
2215592053,Yes,propaganda
14792049,Yes,clickbait
34209920,Yes,propaganda
375932471,Yes,propaganda
192547775,Yes,propaganda
83814679,Yes,hoax
4081106480,Yes,propaganda
4183248796,Yes,propaganda
3957294317,Yes,propaganda
3907583365,Yes,propaganda
53297881,Yes,propaganda
3135241,Yes,clickbait
1090026433,Yes,satire
731321902086656000,Yes,propaganda
3097559537,Yes,hoax
16218068,Yes,propaganda
1877901985,Yes,propaganda
1043097751,Yes,propaganda
64643056,Yes,propaganda
934399189,Yes,propaganda
706476526737485952,Yes,propaganda
106393496,Yes,propaganda
2739596257,Yes,clickbait
574367939,Yes,propaganda
17793358,Yes,satire
112078593,Yes,propaganda
454232867,Yes,propaganda
283047655,Yes,propaganda
872769931,Yes,propaganda
20930176,Yes,propaganda
2369910918,Yes,propaganda
34262462,Yes,propaganda
214091399,Yes,propaganda
2446907407,Yes,propaganda
2242566230,Yes,propaganda
126503408,Yes,propaganda
1965905149,Yes,clickbait
1121890495,Yes,propaganda
1857277280,Yes,propaganda
10774652,Yes,clickbait
799826336,Yes,propaganda
822423872,Yes,clickbait
2571012091,Yes,hoax
2353825572,Yes,propaganda
264325600,Yes,propaganda
2302467404,Yes,satire
474464413,Yes,propaganda
14722676,Yes,clickbait
3092618807,Yes,propaganda
393693452,Yes,satire
14075928,Yes,satire
3018960919,Yes,propaganda
398110728,Yes,propaganda
237686935,Yes,satire
1851981150,Yes,propaganda
1266239359,Yes,hoax
454509384,Yes,clickbait
129019194,Yes,propaganda
15950681,Yes,propaganda
707278892801764992,Yes,propaganda
19605981,Yes,propaganda
320834623,Yes,propaganda
469194846,Yes,clickbait
15973144,Yes,satire
3673181656,Yes,propaganda
18093097,Yes,propaganda
1931893196,Yes,propaganda
27522964,Yes,propaganda
14575708,Yes,clickbait
73928096,Yes,propaganda
142226945,Yes,propaganda
475119104,Yes,propaganda
245676411,Yes,propaganda
16369964,Yes,satire
16589206,Yes,propaganda
184452449,Yes,propaganda
21032566,Yes,propaganda
3085665323,Yes,propaganda
1564327968,Yes,clickbait
47387039,Yes,propaganda
18856867,Yes,propaganda
807095,Yes,realnews
3108351,Yes,realnews
2467791,Yes,realnews
742143,Yes,realnews
5988062,Yes,realnews
14677919,Yes,realnews
51241574,Yes,realnews
1652541,Yes,realnews
34713362,Yes,realnews
21114659,Yes,realnews
35773039,Yes,realnews
9300262,Yes,realnews
5392522,Yes,realnews
14293310,Yes,realnews
14857525,Yes,realnews
16664681,Yes,realnews
15754281,Yes,realnews
759251,Yes,realnews
14173315,Yes,realnews
15012486,Yes,realnews
28785486,Yes,realnews
19417492,Yes,realnews
17546958,Yes,realnews
82689705,Yes,realnews
1947301,Yes,realnews
33584794,Yes,realnews
2836421,Yes,realnews
87818409,Yes,realnews
7309052,Yes,realnews
1367531,Yes,realnews
14511951,Yes,realnews
15164565,Yes,realnews
